Name,"Publications","Awards","Grants","Visiting Lectures","Appointments"
"Jennifer Goebel, DO",,"Jennifer Goebel, DO- Director of Wellness, Emergency Medicine Service Line",,,
"Jeannine Villella, DO","Adherence to risk-reducing salpingo-oophorectomy guidelines among gynecologic oncologists compared to general gynecologists. Am J Obstet Gynecol. 2023 Jun 10
Maveropepimut-S, a DPX-Based Immune-Educating Therapy, Shows Promising and Durable Clinical Benefit in Patients with Recurrent Ovarian Cancer, a Phase II Trial, Clin Cancer Res. 2023 Aug 1
Right middle cerebral artery stroke secondary to ovarian clear cell carcinoma in a 35-year-old: A case report. Case Reports in Women’s Health. Volume 37, 2023 Feb 10
Right middle cerebral artery stroke secondary to ovarian clear cell carcinoma in a 35-year-old: A case report.  Case Rep Womens Health. 2023 Feb 10
“Endometrial Cancer.” Chapter in ""Current Progress in Obstetrics & Gynaecology, Vol. 7"", Tree Life Media, pp. 55–73. September 2023. ","Top Doctor, Castle Connolly, 2023, 2024
Truly Award Nominee, Northwell Health, 2023, 2024","“Familial Ovarian Cancer Registry.” David Miller, MD and Family $50,000, 2023. ","“Cancer Genetics and the Care of the High Risk Patient.” Northwell Health OBGYN Summit Bryant Park Conference Center, New York, NY. May 2024. 
“Primary Care and Gynecologic Oncology: A Partnership.” KIWH Beyond the Bikini Approach: Northwell Health Virtual Event. March, 2023. 
Northwell Health Obstetrics and Gynecology Summit: Innovations and Future Directions Course Co-Director and Section Moderator. Bryant Park Jay Conference Center 2024. ","American College of Surgeons Board of Governors Specialty Society, Governor Representing American College of Obstetricians and Gynecologists; 2021- 2024 "
"Stavros Mountantonakis, MD","Safety and Efficacy of a Novel Approach to Pulmonary Vein Isolation Using Prolonged Apneic Oxygenation. JACC Clin Electrophysiol. 2023 Apr

Pulsed Field or Conventional Thermal Ablation for Paroxysmal Atrial Fibrillation. N Engl J Med. 2023 Aug 27

Pulmonary Vein Narrowing after Pulsed Field Versus Thermal Ablation. Europace. 2024 Feb 2

Dual-energy lattice-tip ablation system for persistent atrial fibrillation: a randomized trial. Nat Med. 2024 May 17

Single plane multipolar catheter for accurate activation mapping of papillary muscle ectopy. J Interv Card Electrophysiol. 2024 May 13

Clinical Significance of Supraventricular Tachycardia During Pregnancy in Healthy Women. JACC Clin Electrophysiol. 2024 Apr 12

Rhythm vs Rate Control Strategy for Atrial Fibrillation: A Meta-Analysis of Randomized Controlled Trials. JACC Clin Electrophysiol. 2024 Apr 15

 Currently approved imaging modalities of atrial fibrillation drivers: Are they in agreement? HeartRhythm Case Rep. 2023 Aug 9;

Anatomically Based Ablation of Left Ventricular Summit Premature Ventricular Complexes Guided by Intracardiac Echocardiography. J Innov Card Rhythm Manag. 2024 Feb 15

","Apr 2024                   Global Principal Investigator, Advent PAS 
Feb 2024:                  First Pulsed Field Atrial Fibrillation Ablation in the Northeast
Dec 2023:                  Northwell Cardiology Research Consortium Research Award: Artificial   
                                  Intelligence Enhanced-Electrocardiogram (AI-ECG) to Predict Mortality in 
                                 Patients Admitted with Acute Coronary Syndrome                                           
 Dec 2023:                  Truly Leadership Award Northwell Health, Nominee 
","Principal Investigator, Assessment of Inflammatory Biomarker Profile in Patients Receiving Baroreflex Activation Therapy and the Correlation with Autonomic Balance and Heart Failure Symptoms in Patients with HFrEF, Funded by CVRx ($200,000). 2022-present. Major Goals: Quantify the physiologic response to baroreflex activation therapy and correlating this with clinical heart failure symptoms, to determine potential prognostic indicators of responders compared to non-responders.

Principal Investigator, A Machine Learning Prediction Model for Clinical Outcomes in Patients. with Implantable Cardiac Defibrillators Status. Investigator Initiated trial, Funded by Biotronik ($50,000). 2022-present. Major Goals: Explore the temporal relationship between adverse clinical outcomes and CIED data to form an algorithm for prognostic value. 

Principal Investigator, Comparing the Prevalence of Pacemaker Induced Cardiomyopathy between Dual Chamber Pacemakers and Leadless Pacemakers throughout Northwell Health. Investigator Initiated trial, Funded by Medtronic ($50,000). 2022-present. Major Goals: Identify the incidence of pacemaker medicated tachycardia in patients with leadless pacemakers compared to traditional transcutaneous pacemakers. 

Principal Investigator, The Comparative Advantage of the Advisor HD Grid Mapping System Catheter, Sensor Enabled in Mapping Ventricular Arrhythmias from the Papillary Muscles. Funded by Abbott External Research Grant ($39,452). 2021-present. Major Goals: Evaluate a novel mapping strategy through use of a multi-polar catheter for papillary muscle premature ventricular contractions. 

Principal Investigator, Non-invasive Vagal stimulation for Frequent Premature Ventricular Contractions (NoVa-PVC). Funded by Northwell Cardiology Consortium Research Grant ($5,000), Barbara and Donald Zucker Grant ($25,000), Biotelemetry Inc. ($50,000). 2021-present. NCT05341544.  Major Goals: Investigate the use of non-invasive vagal stimulation for premature ventricular contraction suppression in patients with symptomatic premature ventricular contractions as an adjunctive therapy. 

Principal Investigator, Non-Invasive 3D Mapping for identifying origin and preferential propagation of Papillary Muscle Premature Ventricular Contractions. Funded by Medtronic External Research Grant ($30,000). 2021-present. Major Goals: Investigate a novel non-invasive 3D electroanatomical mapping approach for papillary muscle premature ventricular contractions. 

Principal Investigator, Incidence of Cardiac Arrhythmias in Patients with Moderate to Severe Chronic Obstructive Pulmonary Disorder and their Relationship to Exacerbation, Funded by Barbara and Donald Zucker Grant ($25,000) and BIOTRONIK External Research Grant ($51,450), 2021-present.  Major Goals: Explore the incidence of arrhythmias in patients with chronic obstructive pulmonary disease and the temporal relationship with adverse clinical outcomes. 

Principal Investigator, Beta Blocker use in Patients with Preserved Ejection Fraction Heart Failure and Preexisting Pacemaker. Funded by Northwell Cardiology Consortium Research Grant ($5,000). 2021-present. Major Goals: Explore the use of beta blocker therapy in HFpEF patients with pre-existing pacemakers throughout the Northwell Health system.  
","Local Invited Presentations:
Northwell Health/ Zucker School of Medicine 2023 Medical Student Research Week- Panel Discussion. 11/07/2023.

Regional Invited Presentations:
1.	Northwell Fellows Course. Program Director. 2/17/2023. “Management of Atrial Fibrillation.” Las Vegas, NV. 
2.	Northwell Fellows Course. Program Director. 2/17/2023. “Tips and Tricks for Ablating Summit and Papillary Muscle PVCs.” Las Vegas, NV. 
3.	Heart Dissection, Coney Island Hospital Fellowship Program. January 2023. 
4.	Northwell Cardiology Grand Rounds. Virtual. 01/13/2023. Cutting Edge Advances in Electrical Therapies for Heart Failure. Panelist

National Invited Presentations:
1.	2024 EP Fellows Summit & Arrhythmia Scholars Program. Arlington, Virginia. 11/1/2024. 
2.	Biotronik International Fellows Program. “Access & Anatomy: Lead Implantation Techniques.” 2/18/2024. Philadelphia, PA. 
3.	Western AF. “Ablation of Persistent Atrial Fibrillation with VX1.” 2/23/2024. Salt Lake City, UH. 
4.	EP Fellows Summit and Arrhythmia Scholars Program. “Conduction System Pacing.” 10/28/2023. Charlotte, NC. 
5.	International Cardiology Fellows Program, Faculty. ""Important Considerations and Peri-Procedural Planning for VT Ablation”. 5/18/2023. New Orleans, LA. Sponsored by Biotronik.
6.	Medtronic Cardiac Ablation Summit. 3/10-3/12/2023. Orlando, FL. Leveraging AI and Non-Invasive Mapping. 
7.	Medtronic Cardiac Ablation Solutions. 01/11/2023. Virtual. EGM Masters Club Series. 



","National:
    2023– Present          Sphere Per AF Publication Committee, Medtronic 
    2023– Present          Academy of Medical Educators   
    2023– Present          Optrell Ventricular Tachycardia Study Advisory Committee, Biosense Webster
    2023– Present          Omnypulse IDE Study Advisory Committee, Biosense Webster
    2023– Present          Heart Rhythm Society, CCEP Program Directors Committee "
"Marla Koroly, MD",,American Heart Association - Westchester/Fairfield Division - Woman of Impact winner,,,"American Heart Association Westchester/Fairfield Division Board, President Elect, 2024"
"Smita Carroll, MD","""Association of perinatal depression and postpartum contraception intent, choice, and actual use"", Journal: Contraception, Date: Epub 2024 Apr 5, Pub 2024 Jul",,,,
"Christina Brennan, MD","Christina Brennan. Investigative Sites. Good Clinical Practice: A Question & Answer Reference Guide 2024/2025. Barnett International, Chapter 2","Christine Pierre Clinical Trials Lifetime Achievement Award 2023, presented by Clinical Trials Europe in Barcelona, Spain",,"How much is too much for one CRC to handle? Association of Clinical Research Professionals. May 6, 2024.

Patient Experience in Clinical Trials Using Standardized Measures. Press Ganey. February 7, 2024. ",Vice Chair for the board of trustees for the Association of Clinical Research Professionals 
"Morana Vojnic, MD","Leskinen S, Khilji H, Ablyazova F, Zlochower A, Harshan M, Wernicke AG, Vojnic M, D'Amico RS: Low-grade B-cell lymphomas in the spinal epidural space: A case series and review of the literature. Curr Probl Cancer Case Reports. 2023;12:100269. doi:https://doi.org/10.1016/j.cpccr.2023.100269

Miyazaki, I., Odintsov, I., Ishida, K., Lui, A. J. W., Kato, M., Suzuki, T., Zhang, T., Wakayama, K., Kurth, R. I., Cheng, R., Fujita, H., Delasos, L., Vojnic, M., Khodos, I., Yamada, Y., Ishizawa, K., Mattar, M. S., Funabashi, K., Chang, Q., Ohkubo, S., ... Somwar, R. (2023). Vepafestinib is a pharmacologically advanced RET-selective inhibitor with high CNS penetration and inhibitory activity against RET solvent front mutations. Nature Cancer, 4(9), 1345–1361. https://doi.org/10.1038/s43018-023-00630-y

Tabor, J. K., Onoichenco, A., Narayan, V., Wernicke, A. G., D'Amico, R. S., & Vojnic, M. (2023). Brain metastasis screening in the molecular age. Neuro-oncology advances, 5(1), vdad080. https://doi.org/10.1093/noajnl/vdad080

Tracz JA, Donnelly BM, Ngu S, Vojnic M, Wernicke AG, D'Amico RS. The abscopal effect: inducing immunogenicity in the treatment of brain metastases secondary to lung cancer and melanoma. J Neurooncol. 2023;163(1):1-14.

Vojnic M, Odintsov I, Liu Z, Lu D, Harshan M, Ameri A, Machnicki S, Xiao X, Lockwood W, Ladanyi M, Somwar R: Pan-cancer prevalence of MET fusions and clinical response to MET- targeted therapy. Poster Session. 2023 ESMO Annual Meeting; October, 20-24, 2023; Barcelona, Spain.

Huang D, Bergagnini I, Hajiyeva S, Wong T, D’Amico RS, Boockvar J, Vojnic M: Comparison of molecular alterations between systemic and CNS metastatic sites reveals mutational discordances. Poster Session. 2023 SNO/ASCO CNS Cancer Conference; Aug 10-12, 2023; San Diego, CA",2023 Advancing Women in Science and Medicine (AWSM) Educational Advancement Award,,,
"Michelle Price, MD",,"2024 President's Award, Northwell Health, Mather Hospital, ""Team of the Year,"" Fortunato Breast Health Center at Mather Hospital. 
Medical Director Michelle Price and radiologist Lan Chan (also a KIWH member)",,,
"Bilal Chughtai, MD","Adverse Event Reporting of Commonly Used Gender-Specific Implantable Medical Devices in the United States', Journal of Patient Safety, 2023.
'Real-world onabotulinumtoxinA treatment patterns in patients with overactive bladder', Neurourology Urodynamics, 2023. 
 'Nocturnal polyuria in women: results from the EpiNP study', International Urogynecology Journal, 2023.",,,,
"Margaret Hegarty, NP",,"President's Award
LIJMC Winner & Central Region Finalist
Leader of the Year",,,
"Jill Rabin, MD","Crihfield, E. G., Uppalapati, P., Abittan, B., Laibangyang, A., Brahmbhatt, S., Burlingame, M., ... & Rabin, J. M. (2023). Development of laparoscopic skills in skills-naïve trainees using self-directed learning with take-home laparoscopic trainer boxes. Surgery Open Science, 16, 82-93.

Abstract: Title. Who’s in your waiting room? Understanding colorectal cancer prevention in the OBGYN setting: A Quality Improvement Initiative 
Authors: Victor Klein, Chloe Lam, Aaron Malekan, Valerie Muoio, Elizabeth Schmidt, Jill Rabin, Christine Molmenti 
 
","Rabin, J.M., The Feinstein Institute for Medical Research, Patent, “Medical Gown”, Patent #US 11,304 462 B2 (April 19, 2022)","Breast, Cervical, and Colorectal Cancer Services Screening Program (CSP)
New York State Department of Health, $1,800,000
 
New York State Abortion Access Program
New York State Department of Health, $313,500

Family Planning Program Telehealth Infrastructure Enhancement and Expansion Initiative
New York State Department of Health, $10,000
","Klein, V., Lam, C., Melekan, A., Muoio, V., Schmidt E., Rabin, J., Molmenti, C., 
Who’s in your waiting room? Understanding colorectal cancer prevention in the OBGYN setting: A Quality Improvement Initiative.  Poster Presentation 27th Annual Premier Women’s Health Conference.  September 25, 2024

Rabin, J.M., Winkler, H., ”Fundamental Urogynecology”, Grand Rounds, Northwell Health Department of Medicine, September 28, 2023.","Journal of Patient Experience Editorial Board (reappointed 2023-2025)

Senate Elected Appointment-Administrative Review Board for Professional Medical Conduct
(June 20, 2024 – March, 2027, reappointed)
"
"Conor Parks, DO",,,,,
"Inga Blom, PhD","Blom, I., Bekar, O. (In Press). Developing a Maternal Identity: Theoretical, Developmental and Clinical Considerations.  Psychoanalytic Perspectives. 

Blom, I. (2024). Seeing, Knowing, and Finding Time: Attachment, Trauma, and Resilience in the Perinatal Period (And During a Pandemic). The Psychoanalytic Study of the Child, 1-20.
",,,"Ours, Yours, Mine –The Self in Relationship from Infancy through Later 					Adulthood. The 53rd Annual Symposium Margaret S. Mahler Symposium on Child Development.  April, 2024

Attachment research and practice that informs contemporary
clinical work with new and expecting parents: Supporting growth
and change across generations: Panel at the Society for Psychotherapy Research International Annual Meeting (June 2024)
",
